,Tweet,text,date,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official report,Joking
10,retweet  china will always keep its words,RT @China2ASEAN: China will always keep its words,Sun Jan 02 22:35:54 +0000 2022,0,0,0,0,0,0,1,1,0,0
11,retweet   you cannot trust china s coronavirus numbers  is not just racist  it is entirely stupid  xi an has already completed four rou…,"RT @agent_of_change: ""You can't trust China's Covid numbers"" is not just racist, it's entirely stupid. Xi'an has already completed four rou…",Mon Jan 03 00:06:12 +0000 2022,0,0,0,0,0,0,1,1,0,0
12,retweet  we were deliberately lied to about the true death count of the china virus  you all really trusting the “results” of the…,"RT @TennesseeGOP30: We were deliberately LIED to about the true death count of the China Virus, Y’all really trusting the “results” of the…",Mon Jan 03 00:11:07 +0000 2022,0,0,0,0,0,0,1,1,0,0
13,"western governments are silent as they see india not just as their main weapons market but also as a key strategic part of their countering china’s expansion in the asia pacific region 
read more      india  muslims  hindu  hatespeech  christians  coronavirus","Western governments are silent as they see India not just as their main weapons market but also as a key strategic part of their countering China’s expansion in the Asia-Pacific region.
Read more... https://t.co/0VS4qmIHBI #India #Muslims #Hindu #HateSpeech #Christians #COVID19",Mon Jan 03 00:30:00 +0000 2022,0,0,0,0,0,0,1,1,0,0
14,retweet  when athletes arrive in  china for the  beijing2022 winter olympics they will be able to zoom out to the mountain venues…,RT @StephenMcDonell: When athletes arrive in #China for the #Beijing2022 Winter Olympics they’ll be able to zoom out to the mountain venues…,Mon Jan 03 00:44:46 +0000 2022,1,0,0,0,0,0,0,0,0,1
15,retweet  china reports 161 new coronavirus cases  ,RT @ChannelNewsAsia: China reports 161 new COVID-19 cases https://t.co/Vc3hVLwb5A https://t.co/CbppNAV01u,Mon Jan 03 02:04:06 +0000 2022,0,0,0,0,0,0,0,0,1,0
16,retweet  china says ‘positive changes’ as coronavirus cases ease in xi’an  ,RT @AJEnglish: China says ‘positive changes’ as COVID cases ease in Xi’an  https://t.co/v6FS8JmIoe,Mon Jan 03 02:21:26 +0000 2022,0,0,0,0,0,0,0,0,1,0
17,retweet  in 2019  a virus named sars cov 2 was born in china  it grew up and travelled across the world for 2 years causing des…,"RT @Chai_Coffee_etc: In 2019, a virus named SARS-CoV-2 was born in China. It grew up and travelled across the world for 2 years causing des…",Mon Jan 03 02:47:28 +0000 2022,0,0,0,0,0,0,0,1,0,0
18,retweet  china’s new sanitation mandates — spurred by the spread of coronavirus — significantly extend the time planes are on the groun…,RT @japantimes: China’s new sanitation mandates — spurred by the spread of COVID-19 — significantly extend the time planes are on the groun…,Fri Dec 31 05:07:11 +0000 2021,0,0,0,0,0,0,0,0,1,0
19,retweet  video went viral on china s social media showing a person dressed like first emperor of qin taking a nucleic acid test…,RT @globaltimesnews: Video went viral on China's social media showing a person dressed like First Emperor of Qin taking a nucleic acid test…,Fri Dec 31 07:38:01 +0000 2021,0,0,0,0,0,0,0,0,1,1
20,  and when flag  India was stucked with the flag  China never offered any free vaccine neither was india need to it  just of oxygen cylinders many countries provided but china earned from trouble times as india had to purchase from flag  Hong Kong SAR China  amp  flag  China  while when virus broke out in wuhan ,"@twatbrillig @bprerna And when 🇮🇳 was Stucked with the 🇨🇳 never Offered any free vaccine,neither was india need to it, just of oxygen cylinders many countries provided but china earned from trouble times as india had to purchase from 🇭🇰 &amp; 🇨🇳 .While when virus broke out in Wuhan https://t.co/0yFuBLILmc",Fri Dec 31 09:33:23 +0000 2021,0,0,0,0,0,0,1,0,0,0
21,"retweet  • colorado wildfires destroy homes  displace thousands
• china  people complain of food shortages amid lockdown
• biden and put…","RT @dwnews: • Colorado wildfires destroy homes, displace thousands
• China: people complain of food shortages amid lockdown
• Biden and Put…",Fri Dec 31 09:54:00 +0000 2021,0,0,0,0,1,0,1,0,0,0
22,retweet  china has provided 2 bln doses of  coronavirus  vaccines to 120  countries and intl organizations  president xi said   only throug…,"RT @PDChina: China has provided 2 bln doses of #COVID19 #vaccines to 120+ countries and intl organizations, President Xi said. ""Only throug…",Fri Dec 31 11:46:14 +0000 2021,0,0,0,0,0,0,0,1,1,0
23,retweet  china has provided more than 2 billion doses of coronavirus vaccines to over 120 countries and international organizations as o…,RT @ChinaScience: China has provided more than 2 billion doses of COVID vaccines to over 120 countries and international organizations as o…,Fri Dec 31 13:54:28 +0000 2021,0,0,0,0,0,0,0,0,1,0
24,retweet  5 6 sc amp fm angyi said  2021 is also a year of progress amp harvest for asian countries  email service provider china  amp   asean have stood togethe…,"RT @China2ASEAN: 5/6 SC&amp;FM #WangYi said, 2021 is also a year of progress&amp;harvest for Asian countries. Esp China &amp; #ASEAN have stood togethe…",Fri Dec 31 21:10:15 +0000 2021,0,0,0,0,0,0,0,0,1,0
25,retweet  4 6 to fight the  coronavirus pandemic  china has provided over 2bln doses of  vaccines  about 372 bln masks  over 4 2 bln pro…,"RT @China2ASEAN: 4/6 To fight the #COVID19 pandemic, China has provided over 2bln doses of #vaccines, about 372 bln masks, over 4.2 bln pro…",Fri Dec 31 21:10:19 +0000 2021,0,0,0,0,0,0,0,0,1,0
26,retweet  to date  china has provided 2 billion doses of vaccines to 120  countries and international organizations  president x…,"RT @globaltimesnews: To date, China has provided 2 billion doses of vaccines to 120+ countries and international organizations. President X…",Fri Dec 31 21:13:52 +0000 2021,0,0,0,0,0,0,0,0,1,0
27,the china super league  csl  has confirmed that it will play behind closed doors until the end of this year due to the threat of the coronavirus variant ,The China Super League (CSL) has confirmed that it will play behind closed doors until the end of this year due to the threat of the COVID-19 variant.,Fri Dec 10 07:26:10 +0000 2021,0,0,0,0,0,0,0,0,1,0
28,what makes china china     smiling face with sunglasses ,What makes China China?? @jokowi @PartaiSocmed 😎 https://t.co/LITtRa6ZWE,Fri Dec 10 09:22:49 +0000 2021,0,0,0,0,0,0,0,0,0,1
29, china has approved the country s first  coronavirus antibody treatment  the treatment has been jointly developed by a research team led by professor zhang  the researchers stated that the new development has roles in treatment ability and in prevention of coronavirus   seatoday ,#China has approved the country's first #COVID19 antibody treatment. The treatment has been jointly developed by a research team led by Professor Zhang. The researchers stated that the new development has roles in treatment ability and in prevention of Covid-19. #SEAToday https://t.co/3OgiqY0oaz,Fri Dec 10 12:00:00 +0000 2021,0,0,0,0,0,0,0,0,1,0
30,ctbc helps se asian countries combat coronavirus with nt 10m donation   the china post  taiwan ,"CTBC helps SE Asian countries combat COVID-19 with NT$10M donation | The China Post, Taiwan https://t.co/UTWeUWefrq",Fri Dec 10 14:39:11 +0000 2021,0,1,0,0,0,0,0,0,1,0
31," a non democratic authoritarian government is necessary to keep the people safe while preventing a more authoritarian government that is democratically elected

the current pandemic is the best example since china has been the freest country on the planet since july 2020","@yeongno3 A non democratic authoritarian government is necessary to keep the people safe while preventing a more authoritarian government that is democratically elected

The current pandemic is the best example since China has been the freest country on the planet since July 2020",Fri Dec 10 15:48:54 +0000 2021,1,0,0,0,0,0,0,0,0,0
32,"retweet  china has doubled down on their reassurance that the  evergrande crisis is fully contained  

who else remembers when they…","RT @CryptoWhale: China has doubled down on their reassurance that the #Evergrande crisis is fully contained. 

Who else remembers when they…",Fri Dec 10 16:25:09 +0000 2021,0,0,0,1,0,0,0,1,0,0
33,retweet  china puts city of 13 million in coronavirus lockdown before olympics  ,RT @AJEnglish: China puts city of 13 million in COVID lockdown before Olympics  https://t.co/qj3Ho56wiR,Fri Dec 24 06:06:40 +0000 2021,0,0,0,0,0,0,0,0,1,0
34,china leverages tech to help others fight the pandemic   thailand siriraj hospital  amp   huawei jointly launched the “siriraj world class  5g smart hospital” recently   marking the first amp largest 5g smart hospital project among asean countries  ,"China leverages tech to help others fight the pandemic. #Thailand Siriraj Hospital &amp; #Huawei jointly launched the “Siriraj World Class #5G Smart Hospital” recently,  marking the first&amp;largest 5G smart hospital project among ASEAN countries. https://t.co/mKS1W9FAC2",Fri Dec 24 07:00:01 +0000 2021,0,1,0,0,0,0,0,0,1,0
35,china lockdown lagi,China lockdown lagi,Fri Dec 24 08:30:42 +0000 2021,0,0,0,0,0,0,0,1,0,1
36,retweet  amazon was found to have complied with requests from china’s government  such as removing ratings and reviews from a product l…,"RT @Harpers: Amazon was found to have complied with requests from China’s government, such as removing ratings and reviews from a product l…",Fri Dec 24 08:36:15 +0000 2021,0,0,0,0,0,0,1,0,1,0
37,retweet  coronavirus  study finds that two doses of china s sinovac vaccine  followed by a pfizer booster  is protective against…,"RT @spectatorindex: CORONAVIRUS: Study finds that two doses of China's Sinovac vaccine, followed by a Pfizer booster, is protective against…",Fri Dec 24 08:37:43 +0000 2021,0,0,0,0,0,0,0,0,1,0
38,retweet  china takes no chances   13 million under lockdown in china s xi an amid coronavirus spike ,RT @RT_com: China takes no chances | 13 MILLION under lockdown in China's Xi'an amid COVID spike https://t.co/OInCC1dRwn,Fri Dec 24 08:39:15 +0000 2021,0,0,0,0,0,0,1,1,1,0
39,retweet  in china  citizens cannot dissent  some do   they disappear  the social credit system compliance shackles  internet  nah   her…,"RT @acs_xrp: In China, citizens cannot dissent. Some do - they disappear. The social credit system compliance shackles. Internet? Nah.. Her…",Fri Dec 24 09:45:45 +0000 2021,0,0,0,0,0,0,1,1,0,0
40,retweet  china imposes strict lockdown on 13 million people in xi’an following coronavirus spike ,RT @TIME: China imposes strict lockdown on 13 million people in Xi’an following COVID-19 spike https://t.co/FkHnMz7znj,Fri Dec 24 10:39:55 +0000 2021,0,0,0,0,0,0,0,0,1,0
41,retweet  earlier  2 doses and a booster of china’s sinovac coronavirus vaccine did not produce sufficient levels of neutralizing antibodi…,RT @Quicktake: EARLIER: 2 doses and a booster of China’s Sinovac Covid-19 vaccine didn’t produce sufficient levels of neutralizing antibodi…,Fri Dec 24 10:54:02 +0000 2021,0,0,0,0,0,0,0,1,1,0
42,retweet  no new domestic corona cases in china ,RT @elonmusk: No new domestic corona cases in China https://t.co/lGmxRvMyFy,Fri Dec 24 13:53:56 +0000 2021,1,0,0,0,0,0,0,0,1,0
43,  furthermore this shows how your argument is even more flawed  us  with obesity rate that high  still managed to maintain higher average life expectancy that china before the pandemic  how is china rising obesity that still half as much as the us going change theirs ,"@ChrisJHutch74 @orikron Furthermore this shows how your argument is even more flawed: US, with obesity rate that high, still managed to maintain higher average life expectancy that China before the pandemic. How's China rising obesity that still half as much as the US going change theirs?",Fri Dec 24 17:49:57 +0000 2021,0,0,0,0,0,0,1,0,0,0
44,2022  china’s zero coronavirus strategy will fail spectacularly against the extremely transmissible omicron  and china’s measures will but cause an unprecedentedly severe and longlasting global supply chain issue  ,"2022: China’s zero covid strategy will fail spectacularly against the extremely transmissible omicron, and China’s measures will but cause an unprecedentedly severe and longlasting global supply chain issue. https://t.co/y4BJ20cyZR",Sat Dec 25 02:14:25 +0000 2021,0,0,0,1,0,0,1,0,0,0
45,"i thought jesus was banned in communist china 

any comments   ","I thought Jesus was banned in communist China?

Any comments, @mikepompeo? https://t.co/0weMRnf2b4",Sat Dec 25 02:28:04 +0000 2021,0,0,0,0,0,0,1,0,0,1
46,"few  hairs got grey at young age not fr anything else

thinking about parents safety     coronavirus n all
china is our enemy
it took two consecutive years from our normal life
 chinisevirus","Few  hairs got grey at young age not fr anything else

Thinking about parents safety ... Covid n all
CHINA IS OUR ENEMY
It took two consecutive years from our normal life
#ChiniseVirus",Mon Dec 27 04:45:00 +0000 2021,0,0,0,0,0,0,1,0,0,0
47,retweet  watch  china s xi an  which is currently on lockdown  launches city wide disinfection as coronavirus cases continue to rise  video …,"RT @BNODesk: WATCH: China's Xi'an, which is currently on lockdown, launches city-wide disinfection as COVID cases continue to rise (Video:…",Mon Dec 27 06:11:40 +0000 2021,0,0,0,0,0,0,0,0,1,0
48,"retweet  photo of dr  robert gallo in 2005  one of his many visits in china  

he smeared yan’s report using his “scientific credi…","RT @DrLiMengYAN1: Photo of Dr. Robert Gallo in 2005, one of his many visits in China. 

He smeared Yan’s Report using his “scientific credi…",Mon Dec 27 10:26:06 +0000 2021,0,0,0,0,0,0,1,0,1,0
49,retweet  china  many citizens periodically receive messages on their phones from the government to take a coronavirus test otherwise th…,RT @apexworldnews: CHINA: Many citizens periodically receive messages on their phones from the government to take a Covid test otherwise th…,Mon Dec 27 12:39:20 +0000 2021,0,0,0,0,0,0,0,0,1,0
50,retweet  had china not lied we could have prevented global outbreak but instead the chinese government opted to not give a shit i hope t…,RT @godguy99: Had China not lied we could've prevented global outbreak but instead the Chinese government opted to not give a shit I hope t…,Mon Dec 27 13:34:49 +0000 2021,0,0,0,0,0,0,1,1,0,0
51,retweet  there are no anti vax movements in china  cuba  or vietnam  there are also no mandates so no movements against those either…,"RT @SpiritofHo: There are no anti-vax movements in China, Cuba, or Vietnam. There are also no mandates so no movements against those either…",Mon Dec 27 17:52:26 +0000 2021,1,0,0,0,0,0,1,1,0,0
52,"retweet  i repeat  no one is a bigger fan of the post 71 usd reserve status structure than china 

the we make usds  china makes st…","RT @LukeGromen: I repeat, no one is a bigger fan of the post-71 USD reserve status structure than China.

The “we make USDs, China makes st…",Mon Dec 27 18:05:15 +0000 2021,0,0,0,0,0,0,1,0,0,1
53,retweet  coronavirus pandemic control personnel in china are equipped with smart helmets that can automatically measure the temperatures…,RT @China4Tech: COVID19 pandemic control personnel in China are equipped with smart helmets that can automatically measure the temperatures…,Mon Dec 27 21:10:18 +0000 2021,0,0,0,0,0,0,0,0,1,0
54,"retweet  from  
“fire eye inflatable labs have been put into use in n china s hohhot to boost nucleic acid test capacity a…","RT @China4Tech: From @XHscitech 
“Fire Eye inflatable labs have been put into use in N China's Hohhot to boost nucleic acid test capacity a…",Mon Dec 27 21:18:38 +0000 2021,1,0,0,0,0,0,0,0,1,0
55,retweet  so when we saw the fake videos of people dropping dead in china at the beginning of the pandemic everyone panicked  but now…,RT @yesisworld: So when we saw the fake videos of people dropping dead in China at the beginning of the pandemic everyone panicked. But now…,Tue Dec 28 00:35:17 +0000 2021,0,0,0,0,1,0,1,0,0,0
56,retweet  china s economy is expected to expand 5 1  in 2022  according to the average of forecasts from 33 economists  the slumping…,"RT @NikkeiAsia: China's economy is expected to expand 5.1% in 2022, according to the average of forecasts from 33 economists. The slumping…",Wed Dec 29 05:23:44 +0000 2021,0,0,0,0,0,0,0,0,1,0
57,retweet  china s xian marks first week of lockdown as coronavirus cases persist  ,RT @Reuters: China's Xian marks first week of lockdown as COVID cases persist https://t.co/hGI0KrOGkw https://t.co/gyopGvRuMr,Wed Dec 29 05:28:16 +0000 2021,0,0,0,0,0,0,0,0,1,0
58,retweet  china flag  China the scene of the now infamous wuhan flop  where people dropped to the ground like a sack of shit  suspiciously…,"RT @risemelbourne: China 🇨🇳 The scene of the now infamous Wuhan Flop, where people dropped to the ground like a sack of shit, suspiciously…",Wed Dec 29 06:03:23 +0000 2021,0,0,0,0,0,0,0,0,0,1
59,retweet  chinese arrested over scheme to smuggle us cancer vaccine data to china ,RT @chinaexposed: Chinese Arrested Over Scheme to Smuggle US Cancer Vaccine Data to China https://t.co/hjcB59xNm9,Wed Dec 29 06:27:16 +0000 2021,0,0,0,0,0,0,0,1,1,0
60,"can anyone tell me who created sars cov 2  and who will be the most richer after many vaccines sold out  anyone 

do not reply wuhan  china and pharmacy s name i knew it  i need to know more detail  please  

 coronavirus  sarscov2  omicron  vaxxed  vaccine  vaccinesideeffects","Can anyone tell me who created Sars-CoV-2? And who will be the most richer after many vaccines sold out? Anyone?

Don't reply Wuhan, China and pharmacy's name I knew it. I need to know more detail. Please? 

#COVID19 #SARSCoV2 #Omicron #VAXXED #vaccine #VaccineSideEffects",Wed Dec 29 07:27:44 +0000 2021,1,0,0,0,0,0,0,0,0,0
61,retweet  hundreds of thousands more people were ordered to stay home in northern china  joining millions under strict lockdown as a…,"RT @ArthurBenta: Hundreds of thousands more people were ordered to stay home in northern China, joining millions under strict lockdown as a…",Wed Dec 29 08:33:25 +0000 2021,0,0,0,0,0,0,0,0,1,0
62, china has administered 2 billion  coronavirus  vaccine shots ,#China has administered 2 billion #COVID19 #vaccine shots https://t.co/Kpwu7I8eWX,Wed Dec 29 10:00:00 +0000 2021,0,0,0,0,0,0,0,0,1,0
63,retweet  china is sending over a hundred  military personnel to the city of  xian  the northern chinese city is currently under…,RT @ChinaInFocusNTD: China is sending over a hundred #Military personnel to the city of #Xian. The northern Chinese city is currently under…,Wed Dec 29 13:33:55 +0000 2021,0,0,0,0,0,0,1,0,1,0
64,"retweet  disgraced physician funded researcher peter daszak reemerges to insist ‘no cover up’ of coronavirus origins from china 

clown face","RT @nataliegwinters: Disgraced Fauci-Funded Researcher Peter Daszak Reemerges to Insist ‘No Cover-Up’ Of COVID-19 Origins From China.

🤡🤡🤡…",Wed Dec 29 14:17:06 +0000 2021,0,0,0,0,0,0,1,1,1,0
65,retweet  china  public shaming returns amid coronavirus fears ,RT @BBCNewsAsia: China: Public shaming returns amid Covid fears https://t.co/FBnGW1X9iw,Wed Dec 29 14:54:58 +0000 2021,0,0,0,0,0,0,1,1,0,0
66, china  public shaming returns amid coronavirus fears four men accused of people traffi  ,https://t.co/TyONDk2eHE China: Public shaming returns amid Covid fears Four men accused of people traffi https://t.co/VBl58vz83A https://t.co/ShhBcruU7l,Wed Dec 29 15:20:47 +0000 2021,0,0,0,0,0,0,1,1,1,0
67,retweet  china  public shaming returns amid coronavirus fears ,RT @bbchealth: China: Public shaming returns amid Covid fears https://t.co/uFOhCjy7Cs,Wed Dec 29 16:40:07 +0000 2021,0,0,0,0,0,0,1,1,0,0
68,china puts on ‘cultural revolution’ style shame parade of coronavirus lockdown violators ,China Puts On ‘Cultural Revolution’ Style Shame Parade of Coronavirus Lockdown Violators https://t.co/BPoRi5LngC,Wed Dec 29 17:21:04 +0000 2021,0,0,0,0,0,0,1,0,0,0
69,"retweet  china and the us both experiencing their most serious coronavirus outbreaks for several months 

flag  China average daily cases  130…","RT @agent_of_change: China and the US both experiencing their most serious Covid outbreaks for several months.

🇨🇳 average daily cases: 130…",Wed Dec 29 17:28:45 +0000 2021,0,0,0,0,0,0,0,0,1,0
70,china could send them to the australian coronavirus concentration camps where there is room for expansion  ,China could send them to the Australian Covid Concentration Camps where there is room for expansion. https://t.co/KAmoR7xHvn,Wed Dec 29 18:01:31 +0000 2021,0,0,0,0,0,0,1,1,0,0
71,retweet  public shaming returns amid coronavirus fears in china ,RT @BBCWorld: Public shaming returns amid Covid fears in China https://t.co/HxiAVt71ZM,Wed Dec 29 18:58:42 +0000 2021,0,0,0,0,0,0,0,0,1,0
72,retweet  we were told airplanes could continue flying during the height of the china originated coronavirus pandemic   because their f…,RT @RichardGrenell: We were told airplanes could continue flying during the height of the China-originated Covid pandemic - because their f…,Wed Dec 29 19:01:58 +0000 2021,0,0,0,0,0,0,0,1,0,1
73,retweet  20 tons pigs  hooves on seashore   another pandemic in china    newsx  ,RT @Bharat_Putra: 20 tons pigs' hooves on seashore | Another pandemic in China? | NewsX  https://t.co/e3e99hU59C,Wed Dec 29 20:23:53 +0000 2021,0,0,0,0,0,0,0,0,1,0
74, people forgot that coronavirus from wuhan china,@JoshuaPotash People forgot that covid from wuhan china,Mon Nov 29 04:41:47 +0000 2021,0,0,0,0,0,0,0,0,0,1
75,retweet  it is not fair   gt china fud  gt india fud  gt coronavirus fud  gt regulation fud  gt evergrande fud  gt great reset fud  gt fed fud  gt hillary fud…,RT @chloedoescrypto: IT'S NOT FAIR: &gt;CHINA FUD &gt;INDIA FUD &gt;COVID FUD &gt;REGULATION FUD &gt;EVERGRANDE FUD &gt;GREAT RESET FUD &gt;FED FUD &gt;HILLARY FUD…,Mon Nov 29 05:23:47 +0000 2021,0,0,0,1,0,0,1,0,0,0
76,  i had no mrna vaccines as a baby  why cannot anyone explain why we need mrna vaccines to fight coronavirus  why cannot normal vaccines made of deactivated pathogens not do the job  like in china  namibia and zimbabwe where sinovac is used very efficiently ,"@cullis @justicemalala I had no mRNA vaccines as a baby. Why can’t anyone explain why we need mRNA vaccines to fight Covid? Why can’t normal vaccines made of deactivated pathogens not do the job? Like in China, Namibia and Zimbabwe where Sinovac is used very efficiently!",Mon Nov 29 13:07:01 +0000 2021,0,0,0,0,0,0,1,0,0,0
77,retweet  ‘we can all learn from china’ – physician funded researcher hyped chinese communist party vaccines and lockdowns on commun…,RT @nataliegwinters: ‘We Can All Learn From China’ – Fauci-Funded Researcher Hyped Chinese Communist Party Vaccines and Lockdowns on Commun…,Mon Nov 29 13:51:09 +0000 2021,0,0,0,0,0,0,0,1,0,0
78,retweet  china could face more than 630 000 coronavirus infections a day if it dropped its zero tolerance policies by lifting travel curbs…,"RT @Reuters: China could face more than 630,000 COVID-19 infections a day if it dropped its zero-tolerance policies by lifting travel curbs…",Mon Nov 29 14:20:42 +0000 2021,0,0,0,0,0,0,1,0,0,0
79,retweet  bill gates has sent millions to china throughout coronavirus  this was in his ‘thank you’ note from xi jinping …,"RT @kylenabecker: Bill Gates Has Sent Millions to China Throughout Covid, This Was in His ‘Thank You’ Note from Xi Jinping https://t.co/DDV…",Mon Nov 29 14:53:36 +0000 2021,0,1,0,0,0,0,0,0,0,0
80,retweet  president xi jinping on monday said china would offer another 1 billion doses of coronavirus vaccines to african countries…,RT @ReutersAfrica: President Xi Jinping on Monday said China would offer another 1 billion doses of COVID-19 vaccines to African countries…,Mon Nov 29 15:53:01 +0000 2021,0,0,0,0,0,0,0,0,1,0
81,retweet  a switch from china’s current coronavirus elimination strategy to an american style approach with few restrictions would lead t…,RT @gyude_moore: “A switch from China’s current Covid elimination strategy to an American-style approach with few restrictions would lead t…,Mon Nov 29 15:54:22 +0000 2021,0,0,0,0,0,0,0,1,0,1
82,retweet  president xi made four proposals on building the china africa community with a shared future in the new era  china and afri…,RT @ChinaAmbSA: President Xi made four proposals on building the China-Africa community with a shared future in the new era. China and Afri…,Mon Nov 29 17:30:01 +0000 2021,1,0,0,0,0,0,0,0,1,0
83,retweet  china will open free lanes for african agricultural exports to china  speed up inspection  amp  quarantine procedures  further…,"RT @ChinaAmbSA: China will open free lanes for African agricultural exports to China, speed up inspection &amp; quarantine procedures, further…",Mon Nov 29 17:30:36 +0000 2021,1,0,0,0,0,0,0,0,1,0
84,retweet  president xi jinping announces that china will provide another one billion doses of vaccines to africa ,RT @ChinaAmbSA: President Xi Jinping announces that China will provide another one billion doses of vaccines to Africa.,Mon Nov 29 17:31:12 +0000 2021,0,0,0,0,0,0,0,0,1,0
85,retweet  the west condemned china and now southern africa for coronavirus  when it is clear the highest numbers of cases are in the west d…,"RT @GeorgeTakei: The West condemned China and now Southern Africa for Covid, when it’s clear the highest numbers of cases are in the West d…",Mon Nov 29 20:09:29 +0000 2021,0,0,0,0,0,0,1,1,1,0
86,"retweet  exclusive

 coronavirus bioweapon thread

how china stole coronavirus from canada and weaponized it
…","RT @GreatGameIndia: EXCLUSIVE

#Coronavirus Bioweapon Thread

How China Stole Coronavirus From Canada And Weaponized It
https://t.co/tc7W2D…",Mon Nov 29 20:26:45 +0000 2021,0,0,0,0,0,0,0,1,0,0
87,retweet  analysis  china’s co2 emissions see first quarterly fall since post lockdown surge ,RT @ecobusinesscom: Analysis: China’s CO2 emissions see first quarterly fall since post-lockdown surge https://t.co/29x9pI73ns,Mon Nov 29 22:33:50 +0000 2021,0,0,0,0,0,0,0,0,1,0
88,"retweet  1⃣the medical and health program 
 china will provide another one billion doses of  vaccines to  africa 
 china will you","RT @SpokespersonCHN: 1⃣The medical and health program.
#China will provide another one billion doses of #vaccines to #Africa.
#China will u…",Mon Nov 29 22:40:57 +0000 2021,0,0,0,0,0,0,0,1,0,0
89,retweet  china will provide african nations with 1 billion more doses of coronavirus vaccines  including 600 million in the form of donati…,"RT @XisMoments: China will provide African nations with 1 billion more doses of COVID vaccines, including 600 million in the form of donati…",Mon Nov 29 22:43:03 +0000 2021,1,0,0,0,0,0,0,0,1,0
90,retweet  the latest detected new  coronavirus variant  omicron is raising concerns worldwide  china s top epidemiologist  zhongnanshan…,RT @China2ASEAN: The latest detected new #COVID19 variant #Omicron is raising concerns worldwide. China's top epidemiologist #ZhongNanshan…,Mon Nov 29 22:47:24 +0000 2021,0,0,0,0,0,0,0,0,1,0
91,retweet   china s top epidemiologist zhong nanshan  it still takes time to find out how harmful the new  coronavirus variant  omicorn i…,RT @China2ASEAN: #China's top Epidemiologist Zhong Nanshan: It still takes time to find out how harmful the new #COVID19 variant #Omicorn i…,Mon Nov 29 22:54:16 +0000 2021,0,0,0,0,0,0,0,0,1,0
